from;to;type;endDate
/faq/borrar-carpeta-del-cms;https://help.vtex.com/tutorial/borrar-carpeta-del-cms;permanent;
/tutorial/sugerencias-de-sinonimos-de-intelligent-search-beta--18A9JTCPrMsHWpFntNoKEr;https://help.vtex.com/es/tracks/vtex-intelligent-search--19wrbB7nEQcmwzDPl1l4Cb/36w9XnpEkoVWl46tAwlyIV;permanent;
/tutorial/resumen-de-la-cuenta--7MJ5gNTmqJ2kIoecnEWcuR;https://help.vtex.com/pt/announcements/descontinuacao-do-vtex-payment--6BkEnyzVDHfoKwPnGdqBRs;permanent;
/tutorial/setting-up-payments-with-stelo--6c16nRhAGWaA2mSUOOuC00;https://help.vtex.com/en/tutorial/setting-up-payments-with-stelom1v2--1lO9Rn87U0iyBTCpgBlqYD;permanent;
/faq/cambiar-los-textos-predeterminados-del-sistema;https://help.vtex.com/tutorial/cambiar-los-textos-predeterminados-del-sistema;permanent;
/pt/faq/abrir-chamados-para-o-suporte-financeiro-da-vtex;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/pt/faq/abrir-chamados-para-o-suporte-financeiro-da-vtex--1ad3TguXzCSKq4yuYSK80c;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/faq/abrir-chamados-para-o-suporte-financeiro-da-vtex;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/faq/abrir-chamados-para-o-suporte-financeiro-da-vtex--1ad3TguXzCSKq4yuYSK80c;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/en/faq/opening-tickets-to-vtex-support-finacial;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/en/faq/opening-tickets-to-vtex-support-finacial--1ad3TguXzCSKq4yuYSK80c;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/faq/opening-tickets-to-vtex-support-finacial;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/faq/opening-tickets-to-vtex-support-finacial--1ad3TguXzCSKq4yuYSK80c;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/es/faq/abrir-tikets-para-el-soporte-finaniero-de-vtex;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/es/faq/abrir-tikets-para-el-soporte-finaniero-de-vtex--1ad3TguXzCSKq4yuYSK80c;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/faq/abrir-tikets-para-el-soporte-finaniero-de-vtex;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/faq/abrir-tikets-para-el-soporte-finaniero-de-vtex--1ad3TguXzCSKq4yuYSK80c;https://help.vtex.com/pt/tutorial/abrir-chamados-para-o-suporte-vtex--16yOEqpO32UQYygSmMSSAM;permanent;
/tutorial/por-que-o-pedido-esta-no-status-verificando-fatura--5VJjxRjeH6SimiG0Wkk2gm;https://help.vtex.com/pt/tutorial/o-pedido-da-minha-loja-esta-parado-no-status-verificando-nota-fiscal--2YY7ILOOd0lEjpiT7SSgag;permanent;
/tutorial/recursos-do-license-manager-suggestion;https://help.vtex.com/pt/tutorial/recursos-do-license-manager--3q6ztrC8YynQf6rdc6euk3#;permanent;
/faq/que-son-utm-source-utm-campaign-y-utm-medium;https://help.vtex.com/tutorial/que-son-utm-source-utm-campaign-y-utm-medium;permanent;
/tutorial/como-funciona-o-healthcheck-da-vtex--4Dkcpwvbm0mWOOyimwCaWw;https://help.vtex.com/pt/tutorial/platform-status-page--gPhqDn9IQ3c67wbJEX3JJ#;permanent;
/tutorial/how-vtex-healthcheck-works--4Dkcpwvbm0mWOOyimwCaWw;https://help.vtex.com/pt/tutorial/platform-status-page--gPhqDn9IQ3c67wbJEX3JJ#;permanent;
/tutorial/como-funciona-el-healthcheck-de-vtex--4Dkcpwvbm0mWOOyimwCaWw;https://help.vtex.com/pt/tutorial/platform-status-page--gPhqDn9IQ3c67wbJEX3JJ#;permanent;
/tutorial/como-funciona-o-healthcheck-da-vtex;https://help.vtex.com/pt/tutorial/platform-status-page--gPhqDn9IQ3c67wbJEX3JJ#;permanent;
/tutorial/how-vtex-healthcheck-works;https://help.vtex.com/pt/tutorial/platform-status-page--gPhqDn9IQ3c67wbJEX3JJ#;permanent;
/tutorial/como-funciona-el-healthcheck-de-vtex;https://help.vtex.com/pt/tutorial/platform-status-page--gPhqDn9IQ3c67wbJEX3JJ#;permanent;
/tutorial/informacoes-dos-pagamentos-customizados-do-chile--1cqQ4JInfcOGUwW2aMOoEK;https://help.vtex.com/pt/tutorial/lista-de-provedores-de-pagamento-por-pais--2im3BEGXxSAcRuxEaIHPvp;permanent;
